destination	source_archive	nested_archive_chain	source_member
licenses/commission-packs/license-source-b70ad2e925cb.txt	Commission Packs.zip		Commission Packs/Modular Pixel Houses Pack 01/License.txt
licenses/commission-packs/license-source-90c0c3228e98.txt	Commission Packs.zip		Commission Packs/Modular Pixel Houses Pack 02/License.txt
licenses/commission-packs/license-source-1b07f90d5f9a.txt	Commission Packs.zip		Commission Packs/Pixel Farming Houses Pack/License.txt
licenses/evomonsters/license-source-8f4387f4f88a.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 01/License.txt
licenses/evomonsters/license-source-9aae9c151d05.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 02/License.txt
licenses/evomonsters/license-source-c2c5c43aed1e.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 03/License.txt
licenses/evomonsters/license-source-46015737c636.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 04/License.txt
licenses/evomonsters/license-source-8ebd42231d81.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 05/License.txt
licenses/evomonsters/license-source-a12a2db90c57.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 06/License.txt
licenses/evomonsters/license-source-f47cf68a7f8f.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 07/License.txt
licenses/evomonsters/license-source-2ca2068c328a.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 08/License.txt
licenses/evomonsters/license-source-f4862af357bc.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 09/License.txt
licenses/evomonsters/license-source-51042ac2d360.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 10/License.txt
licenses/evomonsters/license-source-31f1a197a962.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 11/License.txt
licenses/evomonsters/license-source-e02ffe077d38.txt	EvoMonsters.zip		EvoMonsters/EvoMonster Pack 12/License.txt
licenses/fantasy-dreamland-world/license-source-626bc5e1cdba.txt	Fantasy Dreamland World.zip		Fantasy Dreamland World/License.txt
licenses/farming-game-world/license-source-ef455cb5a61d.txt	Farming Game World.zip		Farming Game World/License.txt
licenses/game-assets-extras/license-source-1fb9ed4168e3.txt	Game Assets [Extras].zip	Game Assets [Extras]/Domino Pixelart Asset Pack.zip	Domino Pixelart Asset Pack/License.txt
licenses/game-assets-extras/license-source-9b88a968bd67.txt	Game Assets [Extras].zip	Game Assets [Extras]/Free Character Sprites - Fantasy Dreamland.zip	Free Character Sprites - Fantasy Dreamland/License.txt
licenses/game-assets-extras/license-source-2a7bc423d38f.txt	Game Assets [Extras].zip	Game Assets [Extras]/Free Dungeon - Fantasy Dreamland.zip	Free Dungeon - Fantasy Dreamland/License.txt
licenses/game-assets-extras/license-source-f67548f2b50c.txt	Game Assets [Extras].zip	Game Assets [Extras]/Free Fantasy Dreamland Minerals.zip	Free Fantasy Dreamland Minerals/License.txt
licenses/game-assets-extras/license-source-c55b52e98f87.txt	Game Assets [Extras].zip	Game Assets [Extras]/Free Treasure Chests.zip	Free Treasure Chests/License.txt
licenses/game-assets-extras/license-source-1192b54da4d2.txt	Game Assets [Extras].zip	Game Assets [Extras]/Playing Cards Pixelart Asset Pack.zip	Playing Cards Pixelart Asset Pack/License.txt
licenses/item-icons-32x32/license-source-53b1104eeead.txt	Item Icons [32x32].zip		Item Icons [32x32]/Enchanted Axe Icons 32x32 Pixelart/License.txt
licenses/item-icons-32x32/license-source-53ef7ad123b1.txt	Item Icons [32x32].zip		Item Icons [32x32]/Enchanted Sword Icons 32x32 Pixelart/License.txt
licenses/pixel-fonts/license-source-55d8f732ad91.txt	Pixel Fonts.zip		Pixel Fonts/Neatpixels Blocks/License.txt
licenses/pixel-fonts/license-source-82c430842326.txt	Pixel Fonts.zip		Pixel Fonts/Neatpixels Boss/License.txt
licenses/pixel-fonts/license-source-5cb2dcfb3dd9.txt	Pixel Fonts.zip		Pixel Fonts/Neatpixels Minimal/License.txt
licenses/pixel-fonts/license-source-e587c0951328.txt	Pixel Fonts.zip		Pixel Fonts/Neatpixels Standard/License.txt
licenses/retro-monsters/license-source-195e6b329ea5.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 02/License.txt
licenses/retro-monsters/license-source-9543ed028bc7.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 03/License.txt
licenses/retro-monsters/license-source-63eecffd2032.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 04/License.txt
licenses/retro-monsters/license-source-525229ee1756.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 05/License.txt
